bcsid,female,parscr,pared,eng10,maths10,isced26,isced30,nonbrit30,isced42,deg26,deg30,deg42,Mauth,Mauthw,r16,rw16,a16,aw16,lr16,a26,aw26,lr26,r30,rw30,a30,aw30,lr30,lrw30,r42,rw42,a42,aw42,lr42,lrw42,deathpen16,deathpen26,deathpen30,deathpen42,parsc,weights
B10058F,1,3,2,0.6751177774363203,-0.07719060681514686,3,3,0,3,0,0,0,0.07539898762872067,0.3225304548384873,-0.49711076111190544,-0.42857873600318586,1.4093791024214999,1.2229730411167075,0.46388458388136206,1.2299490868988967,0.8240011963476513,0.0011942222163425851,0.3183330832531715,0.2922439300209027,0.35254862805059145,0.20219362290948964,0.45487718135002075,0.3343772873118616,-0.2503787296532919,-0.20186364698500728,0.7373907659567726,0.4932472369756666,-0.46339937224075056,-0.37553438708216924,0.9606304562563233,1.037782713912455,0.3805553082389358,0.4848283387184906,3,0.4396534195187071
B10064D,0,3,2,-0.36303603319682753,0.5720336708753023,2,2,0,2,0,0,0,-1.1425230229521073,-0.4185764174420215,2.871128571236222,2.484572875211018,1.4093791024214999,1.2229730411167075,2.0519579341058454,0.5294910081853998,0.29542773552080837,0.0011942222163425851,0.9617722940840496,0.6178544696833611,-0.4714502155735483,-0.3111715533108824,-0.12058125864334658,-0.056034792078275775,-0.2503787296532919,-0.20186364698500728,0.7373907659567726,0.3698713793297533,-0.10548928798976412,-0.020454874531293937,0.9606304562563233,1.037782713912455,1.1396682590567606,1.228460099416882,3,0.2985984302172574
B10065E,1,5,3,-1.9552964789531884,-0.4829557803716776,3,2,1,2,0,0,0,0.8061521939772177,0.39005159520163907,-0.49711076111190544,-0.42857873600318586,-1.6741131403718494,-1.4377025356850819,-1.1241887663431211,-0.5211961098848453,-0.1958039654623637,0.0011942222163425851,0.3183330832531715,0.2922439300209027,0.07788234684254437,0.1774543983642463,-0.12058125864334658,-0.05736707095423316,-0.2503787296532919,-0.20186364698500728,-0.19547145980626857,-0.02925380966128749,0.9682409647631952,0.629335076371555,-1.6191545146087136,-1.1849928499394917,-0.37855764257888896,-1.0024351826782918,5,0.5162407452965626
B10068H,1,3,3,0.9171413651912865,0.4908806361639962,2,2,0,6,0,0,1,0.07539898762872067,-0.15843681143343674,1.7483821271201796,1.5051459965097354,-0.13236701897517483,-0.10736474728418734,0.46388458388136206,-0.17096707052809693,-0.10024126521783822,0.9088031066367427,2.2486507157458067,1.8222433615489582,-0.7461164967815954,-0.4027289010481575,-0.12058125864334658,-0.05736707095423316,0.32277739846870185,0.27114784247798746,-0.19547145980626857,-0.12955307708416042,-0.10548928798976412,-0.14882727714043453,-0.32926202917619524,-0.44406766198884273,-1.8967835442145384,-1.0024351826782918,3,1
B10073E,0,5,1,0.11464210053008073,0.8154927750092208,2,3,0,3,0,0,0,1.4151131992676318,0.6295115411809749,-0.49711076111190544,-0.42857873600318586,0.6385060417231625,0.5375814954320819,0.46388458388136206,1.2299490868988967,0.768050490329507,-1.8140235466244576,-0.9685453384085851,-0.7066617047755518,0.35254862805059145,0.22884470405690435,0.7426064013467052,0.2622045645418152,-0.8235348577752856,-0.7310525440930975,0.27095965307525166,0.20892012343414915,-0.8213094564917369,-0.5604487228775926,0.9606304562563233,1.037782713912455,-1.1376705933967137,0.4848283387184906,5,0.46917706597439585
B10100Q,1,4,3,1.2355934543425586,0.7343397402979146,5,6,0,6,0,1,1,-0.16818541448744478,-0.03593560937232705,-0.49711076111190544,-0.42857873600318586,-1.6741131403718494,-1.4377025356850819,0.46388458388136206,-0.5211961098848453,-0.1958039654623637,0.9088031066367427,0.3183330832531715,0.2656708698505386,-1.2954490591976882,-0.7497907394774389,-1.5592273586267664,-0.9187519928102083,-1.3966909858972794,-1.2040640335560924,-0.19547145980626857,-0.02925380966128749,-0.8213094564917369,-0.61370289224786,-1.6191545146087136,-1.1849928499394917,-1.1376705933967137,-1.0024351826782918,4,1
B10108Y,1,5,2,1.7132715880694669,1.7081761568335885,6,6,0,6,1,1,1,-2.11686063141677,-0.9348258157163277,-0.49711076111190544,-0.42857873600318586,-0.9032400796735122,-0.7927562929688128,0.46388458388136206,-1.221654188598342,-0.9239821858625383,0.9088031066367427,-1.2902649438240241,-0.963859204390988,-0.19678393436550198,-0.07754751063945262,-0.6960396986367147,-0.4323731607514431,-1.3966909858972794,-1.2040640335560924,-0.19547145980626857,-0.1757062575302412,-0.10548928798976412,-0.14882727714043453,-0.32926202917619524,-0.44406766198884273,0.3805553082389358,0.4848283387184906,5,1
B10135B,1,3,1,-0.7579166237444045,-0.6452618497942899,2,2,1,2,0,0,0,0.19719118868680374,-0.15644007759693418,-0.49711076111190544,-0.42857873600318586,0.6385060417231625,0.5780267984004381,-1.1241887663431211,0.8797200475421483,0.5856563546624016,0.0011942222163425851,-0.0033865221622675764,0.00847337023510239,-0.19678393436550198,0.03390972028759352,0.1671479613533371,0.05004499346175453,-0.2503787296532919,-0.20186364698500728,0.7373907659567726,0.4932472369756666,0.2524207962612223,0.25950640478070824,-0.32926202917619524,0.2968575259618061,-1.1376705933967137,0.4848283387184906,3,0.15842398024122162
B10210V,0,3,2,0.197439643709412,0.9777988444318331,3,2,0,7+,0,0,1,0.3189833897448861,0.23089637219056186,-0.49711076111190544,-0.42857873600318586,-0.13236701897517483,-0.14781005025254357,0.46388458388136206,0.5294910081853998,0.3773203302671244,-0.9064146622040575,0.3183330832531715,0.2922439300209027,0.35254862805059145,0.22588963198321413,-0.9837689186333983,-0.5997667998040117,-0.2503787296532919,-0.20186364698500728,0.7373907659567726,0.4932472369756666,-0.10548928798976412,-0.020454874531293937,0.9606304562563233,0.2968575259618061,0.3805553082389358,0.4848283387184906,3,1
B10214Z,1,5,2,0.8343438220119563,1.2212579485657515,3,3,0,3,0,0,0,1.049736596093383,0.36740921537526333,-0.49711076111190544,-0.42857873600318586,-0.13236701897517483,-0.10736474728418734,0.46388458388136206,0.5294910081853998,0.3773203302671244,0.9088031066367427,0.3183330832531715,0.2922439300209027,-0.4714502155735483,-0.28220232942201234,1.8935232813334406,1.159803701472571,0.32277739846870185,0.27114784247798746,0.7373907659567726,0.4932472369756666,1.3261510490141817,0.9092963556835572,-0.32926202917619524,0.2968575259618061,-0.37855764257888896,0.4848283387184906,5,1.8724948751700135
